dim_0,amplitude_beam1,amplitude_beam2,amplitude_beam3,analog1,battery_voltage_dV,date_time_string,driver_timestamp,error_code,heading_decidegree,internal_timestamp,pitch_decidegree,pkt_format_id,pkt_version,preferred_timestamp,pressure_mbar,quality_flag,roll_decidegree,sound_speed_dms,status,stream_name,temperature_centidegree,velocity_beam1,velocity_beam2,velocity_beam3
45,80,80,80,0,116,2017/04/28 11:15:03,3722364942.51,0,2164,3702366903.0,25,JSON_Data,1,internal_timestamp,13106,ok,-49,14812,17,velpt_ab_dcl_instrument,767,125,222,-4
46,80,80,78,0,116,2017/04/28 11:31:02,3722364942.51,0,2145,3702367862.0,24,JSON_Data,1,internal_timestamp,13115,ok,-49,14812,33,velpt_ab_dcl_instrument,767,75,219,-40
47,81,81,80,0,116,2017/04/28 11:46:02,3722364942.51,0,2073,3702368762.0,25,JSON_Data,1,internal_timestamp,13114,ok,-44,14812,33,velpt_ab_dcl_instrument,767,72,213,7
48,89,90,93,0,116,2017/04/28 12:00:08,3722364942.51,0,1841,3702369608.0,19,JSON_Data,1,internal_timestamp,13140,ok,-49,14812,17,velpt_ab_dcl_instrument,767,-36,202,-45
49,77,78,79,0,116,2017/04/28 12:16:02,3722364942.51,0,1727,3702370562.0,13,JSON_Data,1,internal_timestamp,13045,ok,-62,14811,41,velpt_ab_dcl_instrument,766,-29,181,-24
50,79,79,79,0,116,2017/04/28 12:30:00,3722364942.51,0,1909,3702371400.0,23,JSON_Data,1,internal_timestamp,13068,ok,-56,14811,17,velpt_ab_dcl_instrument,766,-36,232,-7
51,78,78,77,0,116,2017/04/28 12:46:03,3722364942.51,0,2025,3702372363.0,20,JSON_Data,1,internal_timestamp,13106,ok,-37,14811,33,velpt_ab_dcl_instrument,766,43,220,-1
52,89,90,93,0,116,2017/04/28 13:00:05,3722364942.51,0,1917,3702373205.0,14,JSON_Data,1,internal_timestamp,13124,ok,-38,14811,17,velpt_ab_dcl_instrument,766,-49,248,-78
53,79,79,76,0,116,2017/04/28 13:15:02,3722364942.51,0,2135,3702374102.0,17,JSON_Data,1,internal_timestamp,13107,ok,-30,14811,17,velpt_ab_dcl_instrument,766,-50,217,-30
54,76,77,76,0,116,2017/04/28 13:30:02,3722364942.51,0,2179,3702375002.0,19,JSON_Data,1,internal_timestamp,13124,ok,-31,14812,17,velpt_ab_dcl_instrument,767,-40,201,-21
55,76,78,77,0,116,2017/04/28 13:45:00,3722364942.51,0,2144,3702375900.0,20,JSON_Data,1,internal_timestamp,13122,ok,-29,14812,17,velpt_ab_dcl_instrument,767,-18,161,-7
56,87,89,92,0,116,2017/04/28 14:00:09,3722364942.51,0,2130,3702376809.0,20,JSON_Data,1,internal_timestamp,13090,ok,-31,14812,17,velpt_ab_dcl_instrument,767,-47,197,-73
57,76,78,75,0,116,2017/04/28 14:16:03,3722364942.51,0,2197,3702377763.0,14,JSON_Data,1,internal_timestamp,13140,ok,-25,14811,33,velpt_ab_dcl_instrument,766,-33,147,27
58,78,77,78,0,116,2017/04/28 14:30:03,3722364942.51,0,2300,3702378603.0,19,JSON_Data,1,internal_timestamp,13139,ok,-21,14811,17,velpt_ab_dcl_instrument,766,-52,135,21
59,75,76,73,0,116,2017/04/28 14:46:03,3722364942.51,0,2386,3702379563.0,17,JSON_Data,1,internal_timestamp,13127,ok,-24,14811,33,velpt_ab_dcl_instrument,766,-78,107,-14
60,87,90,92,0,116,2017/04/28 15:00:06,3722364942.51,0,2271,3702380406.0,14,JSON_Data,1,internal_timestamp,13135,ok,-27,14811,17,velpt_ab_dcl_instrument,765,-81,176,-100
61,75,75,74,0,116,2017/04/28 15:16:00,3722364942.51,0,2248,3702381360.0,16,JSON_Data,1,internal_timestamp,13109,ok,-26,14811,33,velpt_ab_dcl_instrument,765,-97,39,0
62,74,76,73,0,116,2017/04/28 15:31:03,3722364942.51,0,2095,3702382263.0,10,JSON_Data,1,internal_timestamp,13129,ok,-28,14810,33,velpt_ab_dcl_instrument,764,-115,60,-35
63,73,75,75,0,116,2017/04/28 15:45:03,3722364942.51,0,2133,3702383103.0,15,JSON_Data,1,internal_timestamp,13118,ok,-27,14810,17,velpt_ab_dcl_instrument,764,-94,48,0
64,87,88,91,0,116,2017/04/28 16:00:10,3722364942.51,0,2137,3702384010.0,14,JSON_Data,1,internal_timestamp,13102,ok,-33,14810,17,velpt_ab_dcl_instrument,764,-155,83,-86
65,76,77,74,0,116,2017/04/28 16:15:02,3722364942.51,0,2064,3702384902.0,9,JSON_Data,1,internal_timestamp,13104,ok,-32,14810,17,velpt_ab_dcl_instrument,763,-99,43,0
66,74,75,73,0,116,2017/04/28 16:30:02,3722364942.51,0,1978,3702385802.0,10,JSON_Data,1,internal_timestamp,13072,ok,-46,14810,17,velpt_ab_dcl_instrument,764,-129,21,-7
67,76,76,72,0,116,2017/04/28 16:46:01,3722364942.51,0,2067,3702386761.0,5,JSON_Data,1,internal_timestamp,13128,ok,-31,14810,33,velpt_ab_dcl_instrument,764,-58,4,-17
68,86,88,92,0,116,2017/04/28 17:00:05,3722364942.51,0,2173,3702387605.0,8,JSON_Data,1,internal_timestamp,13134,ok,-28,14810,17,velpt_ab_dcl_instrument,764,-52,20,-103
69,75,76,75,0,116,2017/04/28 17:15:03,3722364942.51,0,2154,3702388503.0,10,JSON_Data,1,internal_timestamp,13132,ok,-34,14810,17,velpt_ab_dcl_instrument,764,-107,-31,28
70,76,74,74,0,116,2017/04/28 17:31:02,3722364942.51,0,2261,3702389462.0,16,JSON_Data,1,internal_timestamp,13092,ok,-33,14810,33,velpt_ab_dcl_instrument,764,-102,-28,-3
71,74,75,73,0,116,2017/04/28 17:46:03,3722364942.51,0,2225,3702390363.0,16,JSON_Data,1,internal_timestamp,13087,ok,-36,14811,33,velpt_ab_dcl_instrument,765,-98,-53,-16
72,87,89,91,0,116,2017/04/28 18:00:07,3722364942.51,0,2060,3702391207.0,7,JSON_Data,1,internal_timestamp,13091,ok,-38,14811,17,velpt_ab_dcl_instrument,765,-77,-5,-114
73,76,78,75,0,116,2017/04/28 18:15:02,3722364942.51,0,2013,3702392102.0,8,JSON_Data,1,internal_timestamp,13130,ok,-37,14811,17,velpt_ab_dcl_instrument,765,-52,-60,11
74,75,76,76,0,116,2017/04/28 18:30:02,3722364942.51,0,2093,3702393002.0,9,JSON_Data,1,internal_timestamp,13118,ok,-36,14811,17,velpt_ab_dcl_instrument,765,-30,-68,-24
75,78,76,74,0,116,2017/04/28 18:45:02,3722364942.51,0,2080,3702393902.0,9,JSON_Data,1,internal_timestamp,13107,ok,-39,14811,17,velpt_ab_dcl_instrument,765,-43,-70,13
76,80,82,82,0,116,2017/04/28 19:00:06,3722364942.51,0,2168,3702394806.0,18,JSON_Data,1,internal_timestamp,13100,ok,-44,14811,17,velpt_ab_dcl_instrument,765,-45,-68,37
77,74,77,74,0,116,2017/04/28 19:16:02,3722364942.52,0,2137,3702395762.0,15,JSON_Data,1,internal_timestamp,13094,ok,-44,14812,33,velpt_ab_dcl_instrument,767,8,-64,46
78,75,76,74,0,116,2017/04/28 19:31:04,3722364942.52,0,2162,3702396664.0,18,JSON_Data,1,internal_timestamp,13066,ok,-47,14811,33,velpt_ab_dcl_instrument,766,19,-65,14
79,74,75,75,0,116,2017/04/28 19:45:01,3722364942.52,0,2316,3702397501.0,16,JSON_Data,1,internal_timestamp,13098,ok,-39,14811,17,velpt_ab_dcl_instrument,766,28,-71,4
80,87,88,91,0,116,2017/04/28 20:00:08,3722364942.52,0,2152,3702398408.0,21,JSON_Data,1,internal_timestamp,13077,ok,-48,14811,17,velpt_ab_dcl_instrument,766,-12,-8,-182
81,78,79,77,0,116,2017/04/28 20:15:02,3722364942.52,0,1826,3702399302.0,13,JSON_Data,1,internal_timestamp,13074,ok,-63,14811,17,velpt_ab_dcl_instrument,766,67,-124,58
82,75,76,75,0,116,2017/04/28 20:30:02,3722364942.52,0,1881,3702400202.0,13,JSON_Data,1,internal_timestamp,13087,ok,-54,14811,17,velpt_ab_dcl_instrument,766,86,-80,82
83,75,77,75,0,116,2017/04/28 20:45:03,3722364942.52,0,1973,3702401103.0,14,JSON_Data,1,internal_timestamp,13111,ok,-49,14811,17,velpt_ab_dcl_instrument,766,97,-25,49
84,87,89,92,0,116,2017/04/28 21:00:05,3722364942.52,0,2001,3702402005.0,11,JSON_Data,1,internal_timestamp,13102,ok,-41,14811,17,velpt_ab_dcl_instrument,766,89,0,-89
85,76,76,75,0,116,2017/04/28 21:15:03,3722364942.52,0,2144,3702402903.0,26,JSON_Data,1,internal_timestamp,13099,ok,-54,14811,17,velpt_ab_dcl_instrument,765,106,-63,56
