dim_0,amplitude_beam1,amplitude_beam2,amplitude_beam3,analog1,battery_voltage_dV,date_time_string,driver_timestamp,error_code,heading_decidegree,internal_timestamp,pitch_decidegree,pkt_format_id,pkt_version,preferred_timestamp,pressure_mbar,quality_flag,roll_decidegree,sound_speed_dms,status,stream_name,temperature_centidegree,velocity_beam1,velocity_beam2,velocity_beam3
117,76,76,78,0,116,2017/04/28 19:03:24,3722364942.51,0,2092,3702395004.0,-1,JSON_Data,1,internal_timestamp,13621,ok,-9,14811,17,velpt_ab_dcl_diagnostics,766,-668,-364,222
118,83,82,80,0,116,2017/04/28 19:03:25,3722364942.51,0,1812,3702395005.0,39,JSON_Data,1,internal_timestamp,13703,ok,-47,14811,17,velpt_ab_dcl_diagnostics,766,0,35,-406
119,76,86,77,0,116,2017/04/28 19:03:26,3722364942.51,0,1807,3702395006.0,-32,JSON_Data,1,internal_timestamp,13454,ok,-27,14811,17,velpt_ab_dcl_diagnostics,766,653,385,-318
120,76,87,77,0,116,2017/04/28 19:03:27,3722364942.51,0,2047,3702395007.0,-43,JSON_Data,1,internal_timestamp,13240,ok,-9,14811,17,velpt_ab_dcl_diagnostics,766,96,-453,-632
121,75,80,81,0,116,2017/04/28 19:03:28,3722364942.51,0,2079,3702395008.0,20,JSON_Data,1,internal_timestamp,12489,ok,-5,14811,17,velpt_ab_dcl_diagnostics,766,-259,-436,-462
122,78,84,77,0,116,2017/04/28 19:03:29,3722364942.51,0,2021,3702395009.0,48,JSON_Data,1,internal_timestamp,12010,ok,-34,14811,17,velpt_ab_dcl_diagnostics,766,-534,-99,163
123,82,78,77,0,116,2017/04/28 19:03:30,3722364942.51,0,2039,3702395010.0,56,JSON_Data,1,internal_timestamp,12396,ok,-85,14811,17,velpt_ab_dcl_diagnostics,766,-362,-36,870
124,77,77,77,0,116,2017/04/28 19:03:31,3722364942.51,0,1917,3702395011.0,43,JSON_Data,1,internal_timestamp,13608,ok,-95,14811,17,velpt_ab_dcl_diagnostics,766,94,36,958
125,77,81,77,0,116,2017/04/28 19:03:32,3722364942.51,0,1847,3702395012.0,33,JSON_Data,1,internal_timestamp,14157,ok,-62,14811,17,velpt_ab_dcl_diagnostics,766,611,2,-854
126,76,80,83,0,116,2017/04/28 19:03:33,3722364942.51,0,2097,3702395013.0,3,JSON_Data,1,internal_timestamp,13253,ok,5,14811,17,velpt_ab_dcl_diagnostics,766,275,-33,-733
127,74,78,79,0,116,2017/04/28 19:03:34,3722364942.51,0,2176,3702395014.0,1,JSON_Data,1,internal_timestamp,12552,ok,-19,14811,17,velpt_ab_dcl_diagnostics,766,-115,101,-226
