ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11479/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ015,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11478/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ016,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37IM64183-8523/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ017,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11484/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOR018,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11485/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOR019,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11483/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOR020,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11477/*.DAT,4750,0,4745,5,GI01SUMO-RII11-02-CTDMOQ011,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11476/*.DAT,4746,0,4740,6,GI01SUMO-RII11-02-CTDMOQ031,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11475/*.DAT,4745,0,4740,5,GI01SUMO-RII11-02-CTDMOQ012,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11482/*.DAT,4745,0,4739,6,GI01SUMO-RII11-02-CTDMOQ013,recovered_host,Available,,NaN
